Text,Link
Teleforce,/wiki/Teleforce
Telegeodynamics,/wiki/Telegeodynamics
Teleoperation,/wiki/Teleoperation
Tesla coil,/wiki/Tesla_coil
Tesla Experimental Station,/wiki/Tesla_Experimental_Station
Tesla's oscillator,/wiki/Tesla%27s_oscillator
Tesla turbine,/wiki/Tesla_turbine
Tesla valve,/wiki/Tesla_valve
Torpedo,/wiki/Torpedo
[1],#cite_note-FOOTNOTEJonnes2004355-1
Vacuum variable capacitor,/wiki/Vacuum_variable_capacitor
Violet ray,/wiki/Violet_ray
VTOL,/wiki/VTOL
Wardenclyffe Tower,/wiki/Wardenclyffe_Tower
Wireless power transfer,/wiki/Wireless_power_transfer
World Wireless System,/wiki/World_Wireless_System
Order of St. Sava,/wiki/Order_of_St._Sava
Government of Serbia,/wiki/Government_of_Serbia
Elliott Cresson Medal,/wiki/Elliott_Cresson_Medal
Order of Prince Danilo I,/wiki/Order_of_Prince_Danilo_I
Edison Medal,/wiki/Edison_Medal
Order of the Yugoslav Crown,/wiki/Order_of_the_Yugoslav_Crown
John Scott Medal,/wiki/John_Scott_Medal
Order of the White Eagle,/wiki/Order_of_the_White_Eagle_(Serbia)
Order of the White Lion,/wiki/Order_of_the_White_Lion
Sofia,/wiki/Sofia
/ˈtɛslə/,/wiki/Help:IPA/English
Serbian Cyrillic,/wiki/Serbian_Cyrillic_alphabet
[2],#cite_note-Webster's-2
[nǐkolatêsla],/wiki/Help:IPA/Serbo-Croatian
[a],#cite_note-5
O.S.,/wiki/Old_Style_and_New_Style_dates
Serbian-American,/wiki/Serbian_Americans
[5],#cite_note-FOOTNOTEBurgan20099-6
[6],#cite_note-7
electrical engineer,/wiki/Electrical_engineer
mechanical engineer,/wiki/Mechanical_engineer
alternating current,/wiki/Alternating_current
electricity supply,/wiki/Electricity_supply
[7],#cite_note-8
telephony,/wiki/Telephony
Continental Edison,/wiki/Continental_Edison
electric power industry,/wiki/Electric_power_industry
naturalized citizen,/wiki/Naturalized_citizen
Edison Machine Works,/wiki/Edison_Machine_Works
induction motor,/wiki/Induction_motor
polyphase,/wiki/Polyphase_system
Westinghouse Electric,/wiki/Westinghouse_Electric_Corporation
oscillators,/wiki/Oscillation
electrical discharge,/wiki/Electric_discharge
X-ray imaging,/wiki/X-Ray_imaging
wirelessly,/wiki/Wireless
